trace,model_port,model_tier,faithfulness,compression_ratio,retention,tokens_before,tokens_after,status
session_chat-bddd59dc.md,9996,1.5B,3,0.24,0,728,3016,live
session_chat-bddd59dc.md,8072,7B,3,4.26,3,728,171,live
session_chat-bddd59dc.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-85976843.md,9996,1.5B,3,0.28,3,722,2561,live
session_chat-85976843.md,8072,7B,3,5.47,3,722,132,live
session_chat-85976843.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-dc9369ac.md,9996,1.5B,3,0.24,0,719,3043,live
session_chat-dc9369ac.md,8072,7B,3,4.25,3,719,169,live
session_chat-dc9369ac.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-b5e88ba4.md,9996,1.5B,3,1.0,3,717,717,live
session_chat-b5e88ba4.md,8072,7B,3,4.22,3,717,170,live
session_chat-b5e88ba4.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-edd232fd.md,9996,1.5B,2,0.26,3,714,2709,live
session_chat-edd232fd.md,8072,7B,3,5.17,3,714,138,live
session_chat-edd232fd.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-099e1aca.md,9996,1.5B,2,0.23,1,709,3051,live
session_chat-099e1aca.md,8072,7B,3,3.67,3,709,193,live
session_chat-099e1aca.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-cb781d0a.md,9996,1.5B,2,0.23,1,709,3067,live
session_chat-cb781d0a.md,8072,7B,3,4.82,3,709,147,live
session_chat-cb781d0a.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-8023f1c5.md,9996,1.5B,3,0.28,0,700,2493,live
session_chat-8023f1c5.md,8072,7B,3,4.73,3,700,148,live
session_chat-8023f1c5.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-c167316d.md,9996,1.5B,2,0.26,0,700,2728,live
session_chat-c167316d.md,8072,7B,3,5.22,3,700,134,live
session_chat-c167316d.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-e110b2db.md,9996,1.5B,2,1.0,0,700,700,live
session_chat-e110b2db.md,8072,7B,3,4.02,3,700,174,live
session_chat-e110b2db.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-7549299d.md,9996,1.5B,2,0.26,3,692,2642,live
session_chat-7549299d.md,8072,7B,3,5.45,3,692,127,live
session_chat-7549299d.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-e1b5ec58.md,9996,1.5B,3,1.0,3,691,691,live
session_chat-e1b5ec58.md,8072,7B,3,4.32,3,691,160,live
session_chat-e1b5ec58.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-5c5f2634.md,9996,1.5B,3,0.23,3,692,3070,live
session_chat-5c5f2634.md,8072,7B,3,4.0,3,692,173,live
session_chat-5c5f2634.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-6a5ad72c.md,9996,1.5B,2,1.0,0,690,690,live
session_chat-6a5ad72c.md,8072,7B,3,5.8,3,690,119,live
session_chat-6a5ad72c.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-b7384676.md,9996,1.5B,3,1.0,0,690,690,live
session_chat-b7384676.md,8072,7B,3,4.86,3,690,142,live
session_chat-b7384676.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-e2381e86.md,9996,1.5B,2,1.0,0,690,690,live
session_chat-e2381e86.md,8072,7B,3,5.04,3,690,137,live
session_chat-e2381e86.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-1142aed9.md,9996,1.5B,3,0.22,3,685,3077,live
session_chat-1142aed9.md,8072,7B,3,5.39,3,685,127,live
session_chat-1142aed9.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-51b5ce25.md,9996,1.5B,2,0.24,3,684,2815,live
session_chat-51b5ce25.md,8072,7B,3,5.18,3,684,132,live
session_chat-51b5ce25.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-041b1180.md,9996,1.5B,3,0.22,3,681,3146,live
session_chat-041b1180.md,8072,7B,3,3.51,3,681,194,live
session_chat-041b1180.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
session_chat-32d11a14.md,9996,1.5B,3,0.24,0,681,2791,live
session_chat-32d11a14.md,8072,7B,3,4.54,3,681,150,live
session_chat-32d11a14.md,8071,32B,-1,0.0,-1,0,0,"error: Server error '500 Internal Server Error' for url 'http://localhost:8071/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500"
